"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.bap-medical.com/185.162.30.74","443","INFO","HTTP","",""
"pre_128cipher","www.bap-medical.com/185.162.30.74","443","INFO","No 128 cipher limit bug","",""
"heartbleed","www.bap-medical.com/185.162.30.74","443","OK","not vulnerable , timed out","CVE-2014-0160","CWE-119"
"CCS","www.bap-medical.com/185.162.30.74","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www.bap-medical.com/185.162.30.74","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
